id,name,type,typecode,location_x,location_y,adname
B0FFHH82N3,北京京旅馨居民俗住宿,住宿服务;住宿服务相关;住宿服务相关,100000,116.432488,39.893322,东城区
B0FFIBVBI0,北京荣华居民俗住宿,住宿服务;住宿服务相关;住宿服务相关,100000,117.240568,40.57854,密云区
B0FFJ0CY92,乐道居民俗饭庄住宿,住宿服务;住宿服务相关;住宿服务相关,100000,117.055126,40.398345,密云区
B0FFISCXGY,ZOME己美(北京刘家窑地铁站店),住宿服务;住宿服务相关;住宿服务相关,100000,116.414043,39.854443,丰台区
B000A9ETI3,乡村新居民俗客栈,体育休闲服务;休闲场所;休闲场所,80500,116.822217,40.543329,密云区
B000A8WDH8,财源居民俗客栈,住宿服务;宾馆酒店;宾馆酒店,100100,116.817809,40.525112,密云区
B0FFFADPG6,北京王庄回香居民俗饭庄,餐饮服务;中餐厅;中餐厅,50100,116.81656,40.528412,密云区
B000A8WDRE,迎友居民俗客栈,餐饮服务;中餐厅;中餐厅,50100,116.817975,40.525291,密云区
B0FFG96TU7,桃花仙居民俗饭店,住宿服务;旅馆招待所;旅馆招待所,100200,117.199115,40.145376,平谷区
B0FFJ4BRN2,名品居民宿(装修中),住宿服务;住宿服务相关;住宿服务相关,100000,116.344879,39.898424,西城区
B0FFJ9OMCX,房山良乡轻奢旅居民宿,住宿服务;住宿服务相关;住宿服务相关,100000,116.115484,39.727337,房山区
B0FFFZS0YV,北京古北水镇祥和居民宿,住宿服务;旅馆招待所;旅馆招待所,100200,117.249698,40.654159,密云区
B0FFFADGQ9,谷中馨居民俗客栈,体育休闲服务;休闲场所;休闲场所,80500,117.243999,40.656964,密云区
B0FFH1ZV90,七碟八碗居民俗旅店,住宿服务;旅馆招待所;旅馆招待所,100200,116.933193,40.458685,密云区
B000A81HLK,京都第一瀑度假村,住宿服务;宾馆酒店;三星级宾馆,100104,116.785454,40.592926,密云区
B000A88E5H,北京金融街威斯汀大酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.359168,39.917417,西城区
B0FFG7G99I,万寿宾馆,住宿服务;宾馆酒店;宾馆酒店,100100,116.293273,39.911997,海淀区
