,id,name,type,typecode,location_x,location_y,adname
382,B000A87GNT,面总(东四店),餐饮服务;中餐厅;中餐厅,050100,116.418207,39.924928,东城区
383,B000A7BKZO,川办餐厅,餐饮服务;中餐厅;四川菜(川菜),050102,116.431744,39.911757,东城区
384,B0FFIHFNSG,紫光园(昌平店),餐饮服务;中餐厅;清真菜馆,050121,116.256116,40.210702,昌平区
385,B000A88DSE,京盛源特色烤鱼,餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.481852,39.917782,朝阳区
386,B000A87JN7,胶东海味仙(魏公村店),餐饮服务;中餐厅;海鲜酒楼,050119,116.317039,39.955622,海淀区
387,B000A877HN,滇馨园(同济南路店),餐饮服务;中餐厅;清真菜馆,050121,116.537616,39.771475,大兴区
388,B000A7ZLFR,宴宾楼,餐饮服务;中餐厅;中餐厅,050100,116.284661,40.249641,昌平区
389,B000ABBXWY,鑫华饺子馆(牡丹园分店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.374922,39.980925,海淀区
390,B000A8X7HK,鑫海名都餐饮KTV(八角游乐园店),体育休闲服务;娱乐场所;KTV|餐饮服务;中餐厅;中餐厅,080302|050100,116.212468,39.904127,石景山区
391,B000A8891V,古道酒家,餐饮服务;中餐厅;综合酒楼,050101,116.055517,39.971946,门头沟区
392,B0FFFFXRV5,海底捞火锅(通州华联店),餐饮服务;中餐厅;火锅店,050117,116.635982,39.904003,通州区
393,B000A7QEGA,正兴蜀园(科技园区店),餐饮服务;中餐厅;四川菜(川菜),050102,116.244991,40.207973,昌平区
394,B000A8XP7A,新疆风味兰州拉面(玉江佳园店),餐饮服务;中餐厅;清真菜馆,050121,116.582194,39.802642,通州区
395,B000A8VWVM,锦鲤,餐饮服务;中餐厅;中餐厅,050100,116.345061,39.919358,西城区
396,B000A7QK0I,天天渔港海鲜自助火锅,餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;火锅店,050119|050117,116.438335,39.853814,丰台区
397,B000A84YPE,宝源饺子屋,餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.468750,39.945435,朝阳区
398,B000A7CL00,眉州东坡酒楼(中日店),餐饮服务;中餐厅;四川菜(川菜),050102,116.425349,39.972589,朝阳区
399,B000A9ETHX,通州区周家鱼窝棚,餐饮服务;中餐厅;东北菜,050113,116.671640,39.875446,通州区
400,B000A9ETHX,通州区周家鱼窝棚,餐饮服务;中餐厅;东北菜,050113,116.671640,39.875446,通州区
401,B000A4CA46,力力豆花庄(广渠门店),餐饮服务;中餐厅;综合酒楼,050101,116.447426,39.893989,东城区
402,B000A7P9ES,好来川(总部基地七区店),餐饮服务;中餐厅;四川菜(川菜),050102,116.283311,39.823662,丰台区
403,B000A83YBP,老巷子菜馆(东交民巷),餐饮服务;中餐厅;中餐厅,050100,116.407764,39.902749,东城区
404,B000A7O1CY,艺海贵宾楼(牡丹园店),餐饮服务;中餐厅;综合酒楼,050101,116.369178,39.977183,海淀区
405,B000A85NKW,巫山烤全鱼(东大桥店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.449427,39.923984,朝阳区
406,B000A7O31C,唐廊·餐厅(工体店),餐饮服务;中餐厅;中餐厅,050100,116.446575,39.928283,朝阳区
407,B000A856HW,金地雷亚餐厅,餐饮服务;中餐厅;中餐厅,050100,116.496180,39.794256,大兴区
408,B000A0F0BB,齐天楼(鼓楼店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.406944,39.940746,东城区
409,B000A8VXA7,阳坊涮肉(北大地店),餐饮服务;中餐厅;火锅店,050117,116.292191,39.855404,丰台区
410,B0FFFQ0AIY,护国寺小吃,餐饮服务;快餐厅;快餐厅,050300,116.338997,39.941854,西城区
411,B000ABCD21,中发源,餐饮服务;中餐厅;清真菜馆,050121,116.473009,39.912105,朝阳区
412,B000A7YEHF,青年餐厅(东铁营店),餐饮服务;中餐厅;中餐厅,050100,116.433191,39.849137,丰台区
413,B000A7GWEI,无名居(燕莎店),餐饮服务;中餐厅;中餐厅,050100,116.468912,39.947662,朝阳区
414,B000A7OJXW,北平楼(牡丹园店),餐饮服务;中餐厅;北京菜,050111,116.370265,39.979431,海淀区
415,B000A7Z9W1,肯德基(马家堡店),餐饮服务;快餐厅;肯德基,050301,116.370622,39.846440,丰台区
416,B000A7CS1C,吉野家(望京店),餐饮服务;快餐厅;吉野家,050309,116.469038,39.985573,朝阳区
417,B000A8VP5E,老北京食府(大屯路店),餐饮服务;中餐厅;北京菜,050111,116.404327,40.001963,朝阳区
418,B000A7CPIM,翠满楼饭庄(云岗店),餐饮服务;中餐厅;中餐厅,050100,116.157007,39.809567,丰台区
419,B000A32E3E,德泓居(林萃店),餐饮服务;中餐厅;中餐厅,050100,116.371166,40.012394,朝阳区
420,B000A80DYE,净心莲(长虹桥店),餐饮服务;中餐厅;中式素菜馆,050120,116.463931,39.935024,朝阳区
